tag,tagcount,votescount,tagweight,price,userscore,owners,playtime
Hidden Object,119,2462,21,3.06,0.76,860000,3.28
VR Only,118,118,1,7.99,0.82,860000,0.31
Cyberpunk,117,11570,99,4.49,0.83,2590000,3.24
Metroidvania,115,7672,67,4.99,0.85,2160000,4.11
Futuristic,111,12615,114,5.31,0.83,5190000,3.44
Minimalist,111,2633,24,1.09,0.88,1300000,2.52
World War II,110,16384,149,3.39,0.8,2590000,3.09
Dark Fantasy,109,21166,194,4.24,0.81,4320000,4.26
Team-Based,108,49429,458,2.49,0.82,10810000,3.48
Perma Death,106,7902,75,4.99,0.85,1730000,2.33
Dating Sim,103,10542,102,4.99,0.89,1730000,4.35
Robots,103,15985,155,4.99,0.85,3030000,2.45
Card Game,101,4934,49,0.79,0.75,1300000,1.08
Action-Adventure,101,4185,41,2.99,0.83,3460000,3.55
Economy,99,8143,82,6.99,0.76,1730000,5.37
Top-Down Shooter,99,3851,39,3.74,0.84,2160000,3.53
Turn-Based Tactics,96,4255,44,4.99,0.82,1730000,3.24
Detective,96,5663,59,3.99,0.85,1300000,3.44
Magic,96,12514,130,4.99,0.82,4320000,4.49
Education,95,4812,51,5.31,0.81,1300000,3.30
Aliens,93,11696,126,3.99,0.84,4760000,3.32
Surreal,90,4586,51,3.19,0.86,2160000,3.04
Driving,87,14022,161,6.99,0.79,3460000,5.27
Twin Stick Shooter,87,2799,32,2.99,0.84,1300000,2.07
City Builder,85,11833,139,7.49,0.74,1300000,6.04
Romance,85,6609,78,4.99,0.9,1730000,4.31
Multiple Endings,83,14978,180,4.99,0.91,2160000,4.51
Parkour,82,18910,231,3.24,0.84,5620000,3.56
Steampunk,80,8026,100,2.99,0.82,3030000,3.39
Dark Humor,79,5800,73,3.99,0.85,4760000,4.23
Illuminati,79,6404,81,2.88,0.81,2160000,2.58
Music,79,4704,60,4.49,0.88,1300000,1.10
Kickstarter,77,4070,53,7.49,0.81,3030000,3.43
Level Editor,76,3875,51,4.68,0.87,3030000,3.33
Flight,76,4931,65,5.99,0.79,2160000,3.24
Resource Management,75,7531,100,7.49,0.79,2590000,5.25
Board Game,75,2827,38,5.79,0.72,1080000,3.29
1990's,73,3237,44,3.74,0.9,3030000,0.58
Grand Strategy,73,10603,145,7.49,0.83,4320000,6.12
Choose Your Own Adventure,72,3965,55,2.99,0.87,2160000,7.00
Destruction,71,10017,141,4.99,0.84,3460000,3.01
Utilities,69,2739,40,3.99,0.77,860000,2.03
Remake,68,5594,82,5.61,0.85,3670000,4.30
3D Platformer,67,2836,42,3.86,0.82,1950000,3.23
4X,65,6398,98,7.49,0.81,3890000,6.03
Real-Time with Pause,64,5291,83,3.99,0.84,2160000,5.19
2D Fighter,63,4546,72,4.99,0.84,1730000,4.18
2.5D,63,2193,35,4.99,0.83,2590000,4.32
Dystopian,63,6595,105,4.49,0.88,5620000,3.31
Loot,60,6869,114,3.74,0.82,2590000,6.04
Real-Time,59,2904,49,4.99,0.82,3240000,4.31
Arena Shooter,58,2791,48,4.24,0.84,2160000,1.20
Cartoony,58,6484,112,2.49,0.84,2160000,4.10
Match 3,57,1486,26,3.86,0.76,860000,4.35
Hand-drawn,55,2537,46,3.74,0.87,2380000,4.09
Text-Based,53,626,12,2.99,0.83,430000,2.07
Abstract,53,1378,26,1.49,0.83,2160000,0.19
Crime,53,23797,449,2.99,0.84,7780000,3.40
Stylized,52,2764,53,3.19,0.87,1730000,3.04
